Munic-BR;Populaçăo;1.1_%R.Líquida_Total;2.1_D.Total_Saúde/Hab;2.2_%D.Pessoal/D.Total;2.3_%D.com_Medicamentos;2.4_%D.Serv.Terc/D.Total;2.5_%D.Invest/D.Total;R.Transf.SUS;D.R.Próprios;D.Total_Saúde;cod_municipio
150320 Igarapé-Açu;35241;2.95;162.49;42.26;4.38;5.08;1.88;3121013.45;2316681.86;5726194.2;150320
150330 Igarapé-Miri;57003;1.65;161.54;54.1;2.95;6.93;2.41;6776562.98;2789654.21;9208523.36;150330
150340 Inhangapi;10377;1.51;169.59;29.44;5.68;12.27;14.21;900231.86;900000.0;1759807.0;150340
150345 Ipixuna do Pará;44396;7.68;135.68;53.16;20.64;11.31;1.28;2067928.72;3747814.89;6023776.58;150345
150350 Irituia;30552;2.08;192.07;37.54;3.61;4.16;1.75;3187135.42;2734310.98;5868105.16;150350
150360 Itaituba;127848;6.67;135.29;68.31;6.52;5.63;0.8;8464693.0;7895171.16;17296146.07;150360
150370 Itupiranga;41541;3.02;229.83;53.26;4.01;10.41;1.96;5239624.25;3609535.77;9547248.17;150370
150375 Jacareacanga;41487;2.18;117.24;31.84;21.77;5.34;1.45;2197782.11;2961192.21;4863938.94;150375
150380 Jacundá;55900;1.04;145.63;74.97;11.03;7.32;1.34;2771747.72;5366394.15;8140696.31;150380
150390 Juruti;35530;60.04;457.96;53.19;5.41;9.21;16.72;4542507.71;11741153.23;16271210.77;150390
150400 Limoeiro do Ajuru;24967;2.68;205.17;41.76;4.84;2.82;2.7;2649566.71;2101636.1;5122460.92;150400
150405 Măe do Rio;29087;2.09;152.74;61.35;3.32;9.11;1.05;2136057.52;2243843.91;4442611.29;150405
150410 Magalhăes Barata;7895;3.6;289.04;23.33;10.36;3.75;0.04;556992.14;1725905.82;2281941.71;150410
150420 Marabá;203049;14.59;295.89;64.33;4.08;19.26;1.21;30988304.54;29963839.95;60079909.99;150420
150430 Maracană;29417;2.49;203.87;32.3;7.15;7.27;0.8;3562233.94;2255740.53;5997374.04;150430
150440 Marapanim;28011;0.05;141.35;66.77;1.85;4.84;1.41;2140268.28;1966459.06;3959387.07;150440
150442 Marituba;101158;3.81;267.76;50.3;15.27;25.59;0.85;17767949.08;8148702.21;27086209.38;150442
150445 Medicilândia;23682;2.78;223.02;41.49;6.27;5.65;7.54;2787182.48;1862007.69;5281525.73;150445
150450 Melgaço;17657;0.7;210.07;49.39;15.25;5.43;4.32;2255507.77;1488765.04;3709158.05;150450
150460 Mocajuba;24695;1.86;183.9;39.36;11.74;2.72;1.57;2493170.38;1804734.15;4541408.88;150460
150470 Moju;68600;2.58;176.26;49.09;7.0;4.29;5.16;8229614.93;3598600.78;12091645.79;150470
150480 Monte Alegre;63941;3.05;194.92;71.52;3.85;7.37;1.88;7396603.68;3287344.56;12463590.4;150480
