Indicadores Municipais
População1.1 %R.Líquida Total2.1 D.Total Saúde/Hab2.2 %D.Pessoal/D.Total2.3 %D.com Medicamentos2.4 %D.Serv.Terc/D.Total2.5 %D.Invest/D.TotalR.Transf.SUSD.R.PrópriosD.Total Saúde por Munic-BR
Período:2019
"Munic-BR";"População";"1.1_%R.Líquida_Total";"2.1_D.Total_Saúde/Hab";"2.2_%D.Pessoal/D.Total";"2.3_%D.com_Medicamentos";"2.4_%D.Serv.Terc/D.Total";"2.5_%D.Invest/D.Total";"R.Transf.SUS";"D.R.Próprios";"D.Total_Saúde"
"150215 Canaã dos Carajás";36050;10,53;2887,28;42,67;0,00;31,44;4,29;8120909,53;44018331,48;104086349,13
"150220 Capanema";68616;8,11;625,07;37,28;10,74;20,87;9,22;29296710,76;16215460,48;42889920,94
"150230 Capitão Poço";54179;1,49;394,17;52,61;0,00;18,39;6,01;13403707,23;5957317,08;21355627,57
"150240 Castanhal";198294;10,37;642,66;48,58;3,40;32,22;2,18;83183782,55;32317594,50;127434815,76
"150250 Chaves";23482;1,53;406,27;51,31;0,00;22,92;1,37;4740103,37;4959672,44;9540146,07
"150260 Colares";12040;2,55;530,82;54,68;0,00;13,41;3,20;3210532,08;1686145,02;6391132,74
"150270 Conceição do Araguaia";47734;6,94;577,81;53,35;3,21;21,48;0,79;17659419,57;6891659,58;27581255,61
"150275 Concórdia do Pará";32847;4,07;397,09;42,39;0,21;5,82;4,57;7836705,31;4493855,86;13043367,61
"150276 Cumaru do Norte";13179;3,66;858,18;43,72;2,65;12,51;7,46;4593772,80;3982951,84;11309895,17
"150277 Curionópolis";18014;11,80;866,93;45,60;0,11;7,01;11,89;6276592,00;7634371,00;15616818,51
"150280 Curralinho";33893;3,33;400,60;63,09;2,29;8,26;2,73;6048243,71;4113199,34;13577468,72
"150285 Curuá";14197;0,97;492,77;50,55;0,89;5,78;26,77;4793769,05;2944445,06;6995885,71
"150290 Curuçá";39540;2,61;334,70;53,90;1,10;3,52;3,66;9002046,07;3809022,62;13234040,41
"150293 Dom Eliseu";58956;5,34;376,12;31,16;0,00;31,46;4,29;14282468,78;7905073,11;22174284,44
"150295 Eldorado dos Carajás";33674;3,78;417,68;65,60;3,20;17,60;0,05;8860768,74;9201258,18;14064921,61
"150300 Faro";7319;0,90;647,82;58,40;4,00;5,31;6,66;5790288,85;2141907,96;4741405,67
"150304 Floresta do Araguaia";20080;3,67;618,44;41,85;0,65;3,85;19,56;6315785,41;3988066,72;12418322,55
"150307 Garrafão do Norte";26020;2,68;463,32;55,35;2,79;6,21;3,31;10741381,06;4245341,75;12055619,20
"150309 Goianésia do Pará";39857;3,38;443,27;48,04;11,92;23,97;6,58;9575883,56;7673782,69;17667424,54
"150310 Gurupá";32991;0,59;419,50;54,88;3,34;3,06;11,43;8278288,18;4292865,40;13839610,90
"150320 Igarapé-Açu";38588;1,65;202,40;44,76;0,00;9,26;1,53;9889212,46;3377857,60;7810338,65
"150330 Igarapé-Miri";62355;4,10;389,19;46,76;0,30;6,20;8,87;15121514,63;7649947,17;24268135,95
"150340 Inhangapi";11559;1,77;572,55;49,83;1,06;12,92;4,48;3546911,20;2459810,26;6618095,35
"150345 Ipixuna do Pará";62455;5,04;351,80;51,39;0,00;28,14;4,56;13664329,91;7354253,12;21971561,15
"150350 Irituia";32504;1,05;360,74;50,86;1,27;3,36;0,46;6419605,33;5055381,48;11725576,53
"150360 Itaituba";101097;9,87;476,86;43,50;7,21;14,06;7,17;28883994,50;19477635,27;48209222,96
"150370 Itupiranga";53182;2,73;401,77;41,39;0,00;29,08;13,77;13075712,21;6532362,57;21366917,93
"150375 Jacareacanga";8899;4,04;1999,45;37,16;8,49;8,74;10,39;6457233,09;7909814,10;17793075,06
"150380 Jacundá";58457;3,54;416,51;37,13;0,00;13,97;1,57;14264070,14;9935396,07;24348124,27
"150390 Juruti";56908;5,23;466,67;59,80;1,81;17,20;2,40;11090280,99;15692595,53;26557134,54
"150400 Limoeiro do Ajuru";28583;1,77;449,48;67,48;8,58;5,35;9,79;6225850,18;5699025,65;12847351,89
"150405 Mãe do Rio";29917;3,35;548,38;49,82;0,03;9,44;8,33;11226704,58;4456858,01;16405758,18
"150410 Magalhães Barata";8523;2,07;552,82;51,45;0,16;8,80;2,81;2247753,55;2036323,00;4711657,10
